ID,X(LocalCRS),Y(LocalCRS),ELEV,DESC,X(UTM43N),Y(UTM43N)
411,332.881,147.339,539.8,,328392.881,2074447.339
412,337.4823,148.689,539.4,,328397.4823,2074448.689
413,341.3307,150.838,539,,328401.3307,2074450.838
414,344.4372,155.343,538.9,,328404.4372,2074455.343
415,345.9991,158.372,538.8,,328405.9991,2074458.372
416,347.5682,162.186,538.8,,328407.5682,2074462.186
417,349.9048,165.983,538.7,,328409.9048,2074465.983
418,351.4668,169.028,538.7,,328411.4668,2074469.028
419,351.5033,172.903,538.9,,328411.5033,2074472.903
420,351.5468,177.551,539.2,,328411.5468,2074477.551
421,351.5691,179.874,539.4,,328411.5691,2074479.874
422,349.3072,183.787,539.7,,328409.3072,2074483.787
423,347.7986,186.137,540,,328407.7986,2074486.137
424,344.7372,186.21,540.3,,328404.7372,2074486.21
425,338.6234,186.435,541,,328398.6234,2074486.435
426,330.9949,186.723,541.8,,328390.9949,2074486.723
427,327.9475,186.837,542.1,,328387.9475,2074486.837
428,323.3675,186.215,542.5,,328383.3675,2074486.215
429,320.2957,183.998,542.7,,328380.2957,2074483.998
430,315.6935,181.059,543.1,,328375.6935,2074481.059
431,311.114,179.673,543.8,,328371.114,2074479.673
432,306.5615,179.854,544.5,,328366.5615,2074479.854
433,301.2607,180.083,545.3,,328361.2607,2074480.083
434,298.9913,180.18,545.6,,328358.9913,2074480.18
435,291.4567,182.78,546.8,,328351.4567,2074482.78
436,287.7213,183.067,547.6,,328347.7213,2074483.067
437,281.7615,183.536,549.2,,328341.7615,2074483.536
438,275.8613,187.052,550.7,,328335.8613,2074487.052
439,272.9265,189.559,551.4,,328332.9265,2074489.559
440,267.7881,193.715,552.6,,328327.7881,2074493.715
441,264.112,196.221,553.5,,328324.112,2074496.221
442,261.1776,198.665,554.1,,328321.1776,2074498.665
443,258.2543,201.857,554.6,,328318.2543,2074501.857
444,256.0718,204.998,555,,328316.0718,2074504.998
445,253.8832,208.854,555.3,,328313.8832,2074508.854
446,248.7228,214.286,556.1,,328308.7228,2074514.286
447,245.778,218.125,556.5,,328305.778,2074518.125
448,242.8468,223.455,556.7,,328302.8468,2074523.455
449,239.1767,228.811,557.1,,328299.1767,2074528.811
450,236.9872,233.366,557.2,,328296.9872,2074533.366
451,231.8489,240.987,558,,328291.8489,2074540.987
452,230.3881,244.753,558.2,,328290.3881,2074544.753
453,224.5237,250.923,558.9,,328284.5237,2074550.923
454,218.6936,259.331,559.5,,328278.6936,2074559.331
455,215.0226,263.895,559.8,,328275.0226,2074563.895
456,212.7886,267.628,559.7,,328272.7886,2074567.628
457,211.2878,270.599,559.3,,328271.2878,2074570.599
458,209.0181,275.038,558.8,,328269.0181,2074575.038
459,206.7171,278.71,558.3,,328266.7171,2074578.71
460,204.4141,282.386,557.7,,328264.4141,2074582.386
461,202.8533,286.052,557.1,,328262.8533,2074586.052
462,200.5163,289.71,556.4,,328260.5163,2074589.71
463,196.6333,294.842,555.4,,328256.6333,2074594.842
464,194.3041,297.038,554.9,,328254.3041,2074597.038
465,191.8962,300.665,554.3,,328251.8962,2074600.665
466,189.5612,303.613,553.7,,328249.5612,2074603.613
467,187.9801,306.558,553.2,,328247.9801,2074606.558
468,184.853,310.992,552.5,,328244.853,2074610.992
469,184.0031,314.673,551.9,,328244.0031,2074614.673
470,182.3797,319.104,551.2,,328242.3797,2074619.104
471,180.8174,322.834,550.6,,328240.8174,2074622.834
472,179.3097,327.35,549.9,,328239.3097,2074627.35
473,178.5474,331.854,549.8,,328238.5474,2074631.854
474,178.5384,334.1,549.8,,328238.5384,2074634.1
475,177.7941,337.116,549.8,,328237.7941,2074637.116
476,177.8,340.871,549.7,,328237.8,2074640.871
477,176.3237,346.161,549.8,,328236.3237,2074646.161
478,176.3476,352.932,549.8,,328236.3476,2074652.932
479,175.6813,361.244,549.9,,328235.6813,2074661.244
480,175.0271,368.807,550,,328235.0271,2074668.807
481,172.8932,375.639,550.4,,328232.8932,2074675.639
482,172.2172,380.933,550.5,,328232.2172,2074680.933
483,172.2528,384.702,550.5,,328232.2528,2074684.702
484,171.5735,388.488,550.7,,328231.5735,2074688.488
485,171.6455,393.016,550.9,,328231.6455,2074693.016
486,171.0022,398.309,551.5,,328231.0022,2074698.309
487,171.1244,405.096,551.9,,328231.1244,2074705.096
488,170.4821,408.877,552.3,,328230.4821,2074708.877
489,170.5978,414.153,552.7,,328230.5978,2074714.153
490,170.6818,419.421,553,,328230.6818,2074719.421
491,170.7487,431.456,552.8,,328230.7487,2074731.456
492,170.7779,436.722,552.6,,328230.7779,2074736.722
493,170.8051,445.001,552.4,,328230.8051,2074745.001
494,170.8308,452.531,552.2,,328230.8308,2074752.531
495,170.8511,458.558,551.9,,328230.8511,2074758.558
496,170.8608,461.573,551.8,,328230.8608,2074761.573
497,172.3255,464.584,551.3,,328232.3255,2074764.584
